name,state,district,lat,lon,capacity,shelter_type,data_source
Shelter Primary School,Andaman & Nicobar Islands,South Andaman,11.7167,92.6167,87,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Srikakulam,18.4386,83.8455,95,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Srikakulam,18.5809,83.7944,177,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Srikakulam,18.9442,84.5845,267,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Srikakulam,18.2668,83.7351,324,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Srikakulam,18.3099,83.7606,179,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Srikakulam,18.6393,83.6792,754,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Vizianagaram,17.9999,83.2015,54,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Vizianagaram,19.0509,83.6593,272,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Visakhapatnam,17.8909,82.6924,920,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Visakhapatnam,17.858,83.0356,512,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Visakhapatnam,17.7521,82.7992,829,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Visakhapatnam,17.5859,82.445,887,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Visakhapatnam,17.5292,82.3889,427,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Visakhapatnam,17.3327,82.6411,695,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Visakhapatnam,17.8909,82.6924,696,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,East Godavari,17.4131,82.239,811,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,East Godavari,17.096,81.8809,875,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,East Godavari,17.359,82.5461,173,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,East Godavari,17.1885,82.0118,750,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,West Godavari,16.7514,81.74,677,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Krishna,16.3278,80.9804,671,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Guntur,16.2988,80.0915,375,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Guntur,16.2988,80.0915,425,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Guntur,16.2988,80.0915,315,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Guntur,16.4373,80.5787,206,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Prakasam,15.6107,79.5882,540,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Prakasam,15.0879,79.9401,94,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Prakasam,15.8056,79.2391,512,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Prakasam,15.4572,79.0384,172,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Prakasam,15.2231,79.0655,192,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Nellore,14.4784,80.0347,212,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Nellore,13.9414,80.0211,263,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Nellore,14.5423,79.8845,145,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Nellore,14.4268,79.7344,608,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Nellore,14.8411,80.046,793,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Nellore,14.4772,79.7644,327,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Cuddapah,14.0211,79.2472,58,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Cuddapah,14.4274,79.0196,269,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Cuddapah,14.0918,78.7409,733,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Cuddapah,14.8466,78.6783,927,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Cuddapah,14.4374,78.298,831,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Cuddapah,14.9449,78.3114,450,School,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Kurnool,15.284,77.9001,698,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Ananthapur,14.8527,77.1836,209,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Chittoor,13.7221,78.9943,106,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Chittoor,13.4673,79.0143,308,Community Hall,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Chittoor,13.4673,79.0143,103,Government Building,Synthetic Generation
Shelter Primary School,Andhra Pradesh,Chittoor,13.6946,79.5937,790,Community Hall,Synthetic Generation
Shelter Primary School,Assam,Dhubri,25.9054,90.0181,548,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Assam,Dhubri,26.271,89.7904,989,Government Building,Synthetic Generation
Shelter Primary School,Assam,Barpeta,26.3402,91.0108,172,Community Hall,Synthetic Generation
Shelter Primary School,Assam,Marigaon,26.2848,92.282,395,School,Synthetic Generation
Shelter Primary School,Assam,Nagaon,26.223,92.8425,312,Community Hall,Synthetic Generation
Shelter Primary School,Assam,Lakhimpur,27.169,94.1258,373,Government Building,Synthetic Generation
Shelter Primary School,Assam,Tinsukia,27.5688,95.5566,546,Government Building,Synthetic Generation
Shelter Primary School,Assam,Dibrugarh,27.3664,95.0562,99,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Assam,Sibsagar,26.9122,94.6695,81,School,Synthetic Generation
Shelter Primary School,Assam,Jorhat,26.794,94.2565,378,Community Hall,Synthetic Generation
Shelter Primary School,Assam,Golaghat,26.5969,94.4868,710,School,Synthetic Generation
Shelter Primary School,Assam,Karbi Anglong,26.0654,93.1487,487,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Assam,Karbi Anglong,26.0654,93.1487,636,School,Synthetic Generation
Shelter Primary School,Assam,Bongaigaon,26.4638,90.5639,688,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Assam,Bongaigaon,26.3652,90.6248,612,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Assam,Kamrup,26.1954,91.6023,862,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Assam,Darrang,26.4493,92.0374,156,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Delhi,North Delhi,28.7106,77.2115,423,School,Synthetic Generation
Shelter Primary School,Delhi,East Delhi,28.6114,77.2982,300,Community Hall,Synthetic Generation
Shelter Primary School,Delhi,West Delhi,28.6396,77.0884,374,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Delhi,West Delhi,28.6396,77.0884,480,Government Building,Synthetic Generation
Shelter Primary School,Delhi,South West Delhi,28.565,77.1972,263,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Kachchh,23.6366,69.813,119,School,Synthetic Generation
Shelter Primary School,Gujarat,Kachchh,23.1943,69.0819,462,School,Synthetic Generation
Shelter Primary School,Gujarat,Banaskantha,23.8875,71.7698,720,School,Synthetic Generation
Shelter Primary School,Gujarat,Patan,23.5298,71.8274,250,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Patan,23.7645,71.1681,95,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Sabarkantha,23.5905,72.8344,870,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Sabarkantha,23.8073,73.0353,684,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Sabarkantha,23.8073,73.0353,968,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Sabarkantha,23.8073,73.0353,101,School,Synthetic Generation
Shelter Primary School,Gujarat,Sabarkantha,23.8073,73.0353,167,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Gandhi Nagar,23.2529,72.6986,957,Government Building,Synthetic Generation
